Optimizer Name,Running loop number,Initial CPU Memory (MB),Peak CPU Memory (MB),Initial GPU Memory Allocated (MB),Peak GPU Memory Allocated (MB),Initial GPU Memory Reserved (MB),Peak GPU Memory Reserved (MB)
NAdamW,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,300.0,1770.0
NAdamWCurvature,1,3013.83984375,3013.83984375,62.78466796875,202.388671875,252.0,1968.0
NAdamWCurvature,2,3013.83984375,3013.83984375,62.78466796875,202.388671875,312.0,1760.0
NAdamWCurvature,3,3013.83984375,3013.83984375,62.78466796875,202.388671875,322.0,1938.0
AMSGrad,1,3013.83984375,3013.83984375,62.78466796875,248.92333984375,278.0,1592.0
AMSGrad,2,3014.08984375,3014.08984375,62.78466796875,248.92333984375,388.0,1446.0
AMSGrad,3,3014.08984375,3014.08984375,62.78466796875,248.92333984375,362.0,1698.0
AMSGradCurvature,1,3014.08984375,3014.08984375,62.78466796875,248.92333984375,314.0,1942.0
AMSGradCurvature,2,3014.08984375,3014.08984375,62.78466796875,248.92333984375,382.0,2514.0
AMSGradCurvature,3,3014.08984375,3014.08984375,62.78466796875,248.92333984375,370.0,2034.0
